,City ID,City Name,Country Code,Date,Latitude,Longitude,Humidity,Temperature,Wind Speed,Cloudiness
112,2017155,Saskylakh,RU,05/03/20,71.92,114.08,95,13.46,3.96,66
113,1729564,Bacolod City,PH,05/03/20,10.67,122.95,76,83.3,2.33,100
114,935214,Saint-Pierre,RE,05/03/20,-21.34,55.48,78,69.55,5.82,20
115,2120048,Ust-Nera,RU,05/03/20,64.57,143.2,86,21.36,8.3,100
116,4470244,Havelock,US,05/03/20,34.88,-76.9,71,72.34,4.0,4
117,4513583,Hamilton,US,05/03/20,39.18,-84.53,88,64.63,5.82,90
118,6144312,Sept-Îles,CA,05/03/20,50.2,-66.38,77,43.32,9.17,90
119,4032243,Vaini,TO,05/03/20,-21.2,-175.2,78,80.6,6.93,40
120,3906466,Riberalta,BO,05/03/20,-10.98,-66.1,65,79.59,1.9,49
121,3883457,Lebu,CL,05/03/20,-37.62,-73.65,81,55.4,4.09,100
122,1529484,Kumul,CN,05/03/20,42.8,93.45,19,69.04,11.52,57
123,2641434,Northam,GB,05/03/20,51.03,-4.22,99,48.67,1.01,97
124,2252606,Bakel,SN,05/03/20,14.9,-12.46,11,93.11,7.54,0
125,1516048,Khovd,MN,05/03/20,48.01,91.64,21,53.83,6.42,77
126,2094027,Kieta,PG,05/03/20,-6.22,155.63,68,84.79,3.38,77
127,933416,Manyana,BW,05/03/20,-23.4,21.72,19,62.01,5.55,0
128,3397763,Jacareacanga,BR,05/03/20,-6.22,-57.75,93,76.37,1.92,98
129,8070858,Gambiran,ID,05/03/20,-6.8,111.5,90,75.47,3.87,9
130,1244926,Hambantota,LK,05/03/20,6.12,81.12,100,77.0,3.36,20
131,3466165,Cidreira,BR,05/03/20,-30.18,-50.21,69,64.71,10.07,0
132,2264557,Ponta do Sol,PT,05/03/20,32.67,-17.1,72,60.51,21.92,75
133,3361934,Saldanha,ZA,05/03/20,-33.01,17.94,81,53.6,1.12,45
134,2514651,Los Llanos de Aridane,ES,05/03/20,28.66,-17.92,46,71.6,19.46,43
135,5367788,Lompoc,US,05/03/20,34.64,-120.46,52,63.18,16.11,1
136,3652764,Puerto Ayora,EC,05/03/20,-0.74,-90.35,70,80.92,12.75,20
137,2181625,Te Anau,NZ,05/03/20,-45.42,167.72,82,46.69,5.28,93
138,1057095,Sakaraha,MG,05/03/20,-22.9,44.53,74,63.46,3.24,0
